Année;Trimestre;Année et trimestre;Typologie;Nombre
2019;T3;2019 T3;Accessible au public;31461
2016;T2;2016 T2;Accessible au public;13861
2019;T4;2019 T4;Particulier;116361
2016;T1;2016 T1;Particulier;31629
2017;T1;2017 T1;Société;66596
2019;T4;2019 T4;Accessible au public;30110
2018;T4;2018 T4;Accessible au public;26297
2018;T1;2018 T1;Accessible au public;26370
2015;T2;2015 T2;Accessible au public;10086
2018;T4;2018 T4;Particulier;84162
2018;T3;2018 T3;Particulier;76006
2017;T2;2017 T2;Particulier;53212
2016;T2;2016 T2;Particulier;36161
2015;T4;2015 T4;Particulier;26728
2015;T3;2015 T3;Particulier;22234
2019;T2;2019 T2;Société;134471
2018;T2;2018 T2;Accessible au public;22283
2017;T1;2017 T1;Accessible au public;17423
2019;T3;2019 T3;Particulier;106204
2019;T2;2019 T2;Particulier;98314
2017;T3;2017 T3;Particulier;57079
2017;T4;2017 T4;Société;84206
2015;T2;2015 T2;Société;36851
2017;T2;2017 T2;Accessible au public;19750
2016;T4;2016 T4;Accessible au public;16220
2015;T1;2015 T1;Accessible au public;8478
2019;T1;2019 T1;Société;141159
2018;T3;2018 T3;Accessible au public;24362
2016;T3;2016 T3;Accessible au public;12859
2015;T1;2015 T1;Particulier;15777
2018;T1;2018 T1;Société;91277
2016;T4;2016 T4;Société;61288
2015;T4;2015 T4;Société;42541
2015;T1;2015 T1;Société;33196
2019;T1;2019 T1;Accessible au public;27446
2017;T3;2017 T3;Accessible au public;20688
2018;T1;2018 T1;Particulier;68403
2016;T3;2016 T3;Particulier;39109
2018;T4;2018 T4;Société;114322
2016;T3;2016 T3;Société;56530
2016;T1;2016 T1;Société;48306
2015;T3;2015 T3;Société;37903
2019;T2;2019 T2;Accessible au public;28910
2019;T1;2019 T1;Particulier;91560
2018;T2;2018 T2;Particulier;72879
2015;T2;2015 T2;Particulier;19314
2019;T4;2019 T4;Société;154640
2019;T3;2019 T3;Société;142625
2018;T3;2018 T3;Société;104318
2017;T3;2017 T3;Société;78064
2016;T2;2016 T2;Société;52902
2017;T4;2017 T4;Accessible au public;19309
2016;T1;2016 T1;Accessible au public;12830
2015;T4;2015 T4;Accessible au public;11113
2015;T3;2015 T3;Accessible au public;10928
2017;T4;2017 T4;Particulier;62649
2017;T1;2017 T1;Particulier;48707
2016;T4;2016 T4;Particulier;43354
2018;T2;2018 T2;Société;98067
2017;T2;2017 T2;Société;72582
